Pedido,posicion,material,cantidad,Fecha
7132137695,00020,000000000018000170,51600.000000,2023-12-07
7132137696,00020,000000000076230875,86000.000000,2023-12-07
7132137696,00030,000000000018000308,86000.000000,2023-12-07
7132137697,00020,000000000018000114,51600.000000,2023-12-07
7132137698,00020,000000000018000578,34400.000000,2023-12-07
7132135006,00010,000000000076230713,37600.000000,2023-11-16
7132135007,00010,000000000076230236,37600.000000,2023-11-16
7132135014,00010,000000000018000556,34400.000000,2023-11-16
7132135125,00010,000000000018000620,430000.000000,2023-11-24
7132137602,00010,000000000076230600,88000.000000,2023-11-29
7132137603,00010,000000000076230675,176000.000000,2023-11-29
7132137604,00010,000000000018000378,17200.000000,2023-11-29
7132137605,00010,000000000018000374,51600.000000,2023-11-29
7132137607,00010,000000000018000022,258000.000000,2023-11-29
7132137610,00010,000000000018000019,172000.000000,2023-11-29
7132137611,00010,000000000076230873,34400.000000,2023-11-29
7132137612,00010,000000000076230863,86000.000000,2023-11-29
7132137613,00010,000000000076230916,17200.000000,2023-11-29
7132137614,00010,000000000076230188,51600.000000,2023-11-29
7132137626,00010,000000000018000048,103200.000000,2023-11-30
7132137657,00010,000000000018000239,37600.000000,2023-12-04
7132137666,00010,000000000076230881,3465000.000000,2023-12-04
7132137670,00010,000000000018000610,430180.000000,2023-12-05
7132137691,00010,000000000076230712,76800.000000,2023-12-07
7132137618,00010,000000000076230560,88000.000000,2023-12-07
7132137693,00010,000000000076230699,37600.000000,2023-12-07
7132137694,00010,000000000076230563,88000.000000,2023-12-07
7132137695,00010,000000000076230181,34400.000000,2023-12-07
7132137696,00010,000000000018000340,258000.000000,2023-12-07
7132137697,00010,000000000018000239,34400.000000,2023-12-07
7132137698,00010,000000000018000241,51600.000000,2023-12-07
7132134947,00020,000000000018000387,17600.000000,2023-11-08
7132134957,00020,000000000076230821,34400.000000,2023-11-08
7132134957,00030,000000000076230901,34400.000000,2023-11-08
7132134961,00020,000000000018000170,86000.000000,2023-11-08
7132134960,00020,000000000018000053,258000.000000,2023-11-08
7132134961,00030,000000000018000518,172000.000000,2023-11-08
7132134947,00030,000000000018000483,17600.000000,2023-11-08
7132134947,00040,000000000076230561,37600.000000,2023-11-08
7132134948,00020,000000000076230553,176000.000000,2023-11-08
7132134948,00030,000000000076230609,88000.000000,2023-11-08
7132134948,00040,000000000076230627,88000.000000,2023-11-08
7132135012,00020,000000000018000760,34400.000000,2023-11-16
7132135013,00020,000000000018000050,344000.000000,2023-11-16
7132135032,00020,,1.000000,2023-11-17
7132135083,00030,000000000099000070,4.000000,2023-11-21
7132134970,00020,000000000076620026,23334.000000,2023-11-10
7132134970,00030,000000000018000450,23334.000000,2023-11-10
7132135083,00040,,1.000000,2023-11-21
7132135004,00020,000000000018000502,88000.000000,2023-11-16
7132135010,00020,000000000018000610,172000.000000,2023-11-16
7132135011,00020,000000000018000340,172000.000000,2023-11-16
7132135030,00020,000000000076230576,70400.000000,2023-11-16
7132135030,00030,000000000076230236,37600.000000,2023-11-16
7132135030,00040,000000000076230621,37600.000000,2023-11-16
7132135005,00020,000000000076230558,88000.000000,2023-11-16
7132135005,00030,000000000076230622,88000.000000,2023-11-16
7132135005,00040,000000000018000501,176000.000000,2023-11-16
7132135008,00030,000000000076230830,172000.000000,2023-11-16
7132135008,00020,000000000076230814,86000.000000,2023-11-16
7132135009,00020,000000000018000385,258000.000000,2023-11-16
7132135012,00030,000000000018000355,17200.000000,2023-11-16
7132135038,00020,000000000018000153,17600.000000,2023-11-17
7132135087,00030,000000000076230813,34400.000000,2023-11-21
7132135087,00040,000000000018000081,34400.000000,2023-11-21
7132135087,00050,000000000018000578,34400.000000,2023-11-21
7132134957,00010,000000000018000576,17200.000000,2023-11-08
7132134960,00010,000000000018000022,172000.000000,2023-11-08
7132134961,00010,000000000018000340,172000.000000,2023-11-08
7132134947,00010,000000000076230562,17600.000000,2023-11-08
7132134948,00010,000000000076230551,88000.000000,2023-11-08
7132135012,00010,000000000018000221,34400.000000,2023-11-16
7132135013,00010,000000000076230859,86000.000000,2023-11-16
7132134970,00010,000000000076620009,23334.000000,2023-11-10
7132135010,00010,000000000018000019,258000.000000,2023-11-16
7132135011,00010,000000000018000022,258000.000000,2023-11-16
7132135004,00010,000000000018000136,376000.000000,2023-11-16
7132135005,00010,000000000076230607,88000.000000,2023-11-16
7132135030,00010,000000000076230713,37600.000000,2023-11-16
7132135008,00010,000000000076230804,172000.000000,2023-11-16
7132135009,00010,000000000018000358,172000.000000,2023-11-16
7132135038,00010,000000000076230523,70400.000000,2023-11-17
7132135087,00010,000000000018000556,34400.000000,2023-11-21
7132135049,00010,000000000076230881,3465000.000000,2023-11-20
7132135111,00010,000000000018000210,76800.000000,2023-11-23
7132135114,00010,000000000076230641,88000.000000,2023-11-23
7132135115,00010,000000000076230553,176000.000000,2023-11-23
7132135116,00010,000000000018000136,376000.000000,2023-11-23
7132135118,00010,000000000018000255,76800.000000,2023-11-23
7132135121,00010,000000000076230889,68800.000000,2023-11-23
7132135105,00010,000000000076230851,88000.000000,2023-11-23
7132135108,00010,000000000076230901,76800.000000,2023-11-23
7132135112,00010,000000000076230871,70400.000000,2023-11-23
