MATNR,REFERENCIA,C1,C2,Necesidades_min,Necesidades_max
000000000076230866,BRIK AVENA ECOLOGICA 1L EDGE,P0168C,,17200.0,17200.0
000000000076230867,BRIK ALMENDRA ECOLOGICA 1L EDGE,P0168C,,0.0,0.0
000000000076230871,BRIK SOJA CALCIO 1L EDGE,P0363C,,0.0,17200.0
000000000076230872,BRIK SOJA CHOCOLATE 1L EDGE,P7567C,,17200.0,17200.0
000000000076230873,BRIK SOJA LIGHT 1L EDGE,P7567C,,17200.0,34400.0
000000000076230874,BRIK SOJA NATURAL 1L EDGE,P7567C,,34400.0,68800.0
000000000076230875,BRIK BEBIDA AVENA IFA 1L EDGE,P7567C,,17200.0,17200.0
000000000076230876,BRIK BEBIDA ALMENDRA 1L EDGE,P7567C,,17200.0,34400.0
000000000076230889,BRIK BEBIDA ALMENDRA ALTEZA 1L EDGE,P0641C,,0.0,0.0
000000000076230900,BRIK BEBIDA ALMENDRA SPAR 1L EDGE,P0218C,,0.0,0.0
000000000076230903,BRIK SOJA SIN AZUCAR T 1L EDGE,P0362C,,0.0,68800.0
000000000076230910,BRIK SOJA CALCIO HIPERDINO 1L EDGE,C0018C,,17200.0,34400.0
000000000076230912,BRIK SOJA CON CALCIO FRIAS 1 LT EDGE,PWGR1C,,0.0,0.0
000000000076230916,BRIK SOJA LIGHT HIPERDINO 1L EDGE,C0018C,,17200.0,17200.0
000000000076230917,BRIK SOJA NATURAL HIPERDINO 1L EDGE,C0018C,,0.0,0.0
000000000076230181,BRIK BEBIDA ALMENDRA HIPERDINO 1L EDGE,C0018C,,17200.0,17200.0
000000000076230184,BRIK BEBIDA AVENA HIPERDINO 1L EDGE,C0018C,,34400.0,51600.0
